date;vacation
2015-01-03;Weihnachtsferien
2015-01-04;Weihnachtsferien
2015-01-05;Weihnachtsferien
2015-02-02;Winterferien
2015-02-03;Winterferien
2015-03-25;Osterferien
2015-03-26;Osterferien
2015-03-27;Osterferien
2015-03-28;Osterferien
2015-03-29;Osterferien
2015-03-30;Osterferien
2015-03-31;Osterferien
2015-04-01;Osterferien
2015-04-02;Osterferien
2015-04-03;Osterferien
2015-04-04;Osterferien
2015-04-05;Osterferien
2015-04-06;Osterferien
2015-04-07;Osterferien
2015-04-08;Osterferien
2015-04-09;Osterferien
2015-04-10;Osterferien
2015-05-15;Pfingstferien
2015-05-26;Pfingstferien
2015-07-23;Sommerferien
2015-07-24;Sommerferien
2015-07-25;Sommerferien
2015-07-26;Sommerferien
2015-07-27;Sommerferien
2015-07-28;Sommerferien
2015-07-29;Sommerferien
2015-07-30;Sommerferien
2015-07-31;Sommerferien
2015-08-01;Sommerferien
2015-08-02;Sommerferien
2015-08-03;Sommerferien
2015-08-04;Sommerferien
2015-08-05;Sommerferien
2015-08-06;Sommerferien
2015-08-07;Sommerferien
2015-08-08;Sommerferien
2015-08-09;Sommerferien
2015-08-10;Sommerferien
2015-08-11;Sommerferien
2015-08-12;Sommerferien
2015-08-13;Sommerferien
2015-08-14;Sommerferien
2015-08-15;Sommerferien
2015-08-16;Sommerferien
2015-08-17;Sommerferien
2015-08-18;Sommerferien
2015-08-19;Sommerferien
2015-08-20;Sommerferien
2015-08-21;Sommerferien
2015-08-22;Sommerferien
2015-08-23;Sommerferien
2015-08-24;Sommerferien
2015-08-25;Sommerferien
2015-08-26;Sommerferien
2015-08-27;Sommerferien
2015-08-28;Sommerferien
2015-08-29;Sommerferien
2015-08-30;Sommerferien
2015-08-31;Sommerferien
2015-09-01;Sommerferien
2015-09-02;Sommerferien
2015-10-19;Herbstferien
2015-10-20;Herbstferien
2015-10-21;Herbstferien
2015-10-22;Herbstferien
2015-10-23;Herbstferien
2015-10-24;Herbstferien
2015-10-25;Herbstferien
2015-10-26;Herbstferien
2015-10-27;Herbstferien
2015-10-28;Herbstferien
2015-10-29;Herbstferien
2015-10-30;Herbstferien
2015-10-31;Herbstferien
2015-12-23;Weihnachtsferien
2015-12-24;Weihnachtsferien
2015-12-25;Weihnachtsferien
2015-12-26;Weihnachtsferien
2015-12-27;Weihnachtsferien
2015-12-28;Weihnachtsferien
2015-12-29;Weihnachtsferien
2015-12-30;Weihnachtsferien
2015-12-31;Weihnachtsferien
2016-01-01;Weihnachtsferien
2016-01-02;Weihnachtsferien
2016-01-03;Weihnachtsferien
2016-01-04;Weihnachtsferien
2016-01-05;Weihnachtsferien
2016-01-06;Weihnachtsferien
2016-01-28;Winterferien
2016-01-29;Winterferien
2016-03-18;Osterferien
2016-03-19;Osterferien
2016-03-20;Osterferien
2016-03-21;Osterferien
2016-03-22;Osterferien
2016-03-23;Osterferien
2016-03-24;Osterferien
2016-03-25;Osterferien
2016-03-26;Osterferien
2016-03-27;Osterferien
2016-03-28;Osterferien
2016-03-29;Osterferien
2016-03-30;Osterferien
2016-03-31;Osterferien
2016-04-01;Osterferien
2016-04-02;Osterferien
2016-05-06;Pfingstferien
2016-05-17;Pfingstferien
2016-06-23;Sommerferien
2016-06-24;Sommerferien
2016-06-25;Sommerferien
2016-06-26;Sommerferien
2016-06-27;Sommerferien
2016-06-28;Sommerferien
2016-06-29;Sommerferien
2016-06-30;Sommerferien
2016-07-01;Sommerferien
2016-07-02;Sommerferien
2016-07-03;Sommerferien
2016-07-04;Sommerferien
2016-07-05;Sommerferien
2016-07-06;Sommerferien
2016-07-07;Sommerferien
2016-07-08;Sommerferien
2016-07-09;Sommerferien
2016-07-10;Sommerferien
2016-07-11;Sommerferien
2016-07-12;Sommerferien
2016-07-13;Sommerferien
2016-07-14;Sommerferien
2016-07-15;Sommerferien
2016-07-16;Sommerferien
2016-07-17;Sommerferien
2016-07-18;Sommerferien
2016-07-19;Sommerferien
2016-07-20;Sommerferien
2016-07-21;Sommerferien
2016-07-22;Sommerferien
2016-07-23;Sommerferien
2016-07-24;Sommerferien
2016-07-25;Sommerferien
2016-07-26;Sommerferien
2016-07-27;Sommerferien
2016-07-28;Sommerferien
2016-07-29;Sommerferien
2016-07-30;Sommerferien
2016-07-31;Sommerferien
2016-08-01;Sommerferien
2016-08-02;Sommerferien
2016-08-03;Sommerferien
2016-10-04;Herbstferien
2016-10-05;Herbstferien
2016-10-06;Herbstferien
2016-10-07;Herbstferien
2016-10-08;Herbstferien
2016-10-09;Herbstferien
2016-10-10;Herbstferien
2016-10-11;Herbstferien
2016-10-12;Herbstferien
2016-10-13;Herbstferien
2016-10-14;Herbstferien
2016-10-15;Herbstferien
2016-12-21;Weihnachtsferien
2016-12-22;Weihnachtsferien
2016-12-23;Weihnachtsferien
2016-12-24;Weihnachtsferien
2016-12-25;Weihnachtsferien
2016-12-26;Weihnachtsferien
2016-12-27;Weihnachtsferien
2016-12-28;Weihnachtsferien
2016-12-29;Weihnachtsferien
2016-12-30;Weihnachtsferien
2016-12-31;Weihnachtsferien
2017-01-01;Weihnachtsferien
2017-01-02;Weihnachtsferien
2017-01-03;Weihnachtsferien
2017-01-04;Weihnachtsferien
2017-01-05;Weihnachtsferien
2017-01-06;Weihnachtsferien
2017-01-30;Winterferien
2017-01-31;Winterferien
2017-04-10;Osterferien
2017-04-11;Osterferien
2017-04-12;Osterferien
2017-04-13;Osterferien
2017-04-14;Osterferien
2017-04-15;Osterferien
2017-04-16;Osterferien
2017-04-17;Osterferien
2017-04-18;Osterferien
2017-04-19;Osterferien
2017-04-20;Osterferien
2017-04-21;Osterferien
2017-04-22;Osterferien
2017-05-26;Pfingstferien
2017-06-06;Pfingstferien
2017-06-22;Sommerferien
2017-06-23;Sommerferien
2017-06-24;Sommerferien
2017-06-25;Sommerferien
2017-06-26;Sommerferien
2017-06-27;Sommerferien
2017-06-28;Sommerferien
2017-06-29;Sommerferien
2017-06-30;Sommerferien
2017-07-01;Sommerferien
2017-07-02;Sommerferien
2017-07-03;Sommerferien
2017-07-04;Sommerferien
2017-07-05;Sommerferien
2017-07-06;Sommerferien
2017-07-07;Sommerferien
2017-07-08;Sommerferien
2017-07-09;Sommerferien
2017-07-10;Sommerferien
2017-07-11;Sommerferien
2017-07-12;Sommerferien
2017-07-13;Sommerferien
2017-07-14;Sommerferien
2017-07-15;Sommerferien
2017-07-16;Sommerferien
2017-07-17;Sommerferien
2017-07-18;Sommerferien
2017-07-19;Sommerferien
2017-07-20;Sommerferien
2017-07-21;Sommerferien
2017-07-22;Sommerferien
2017-07-23;Sommerferien
2017-07-24;Sommerferien
2017-07-25;Sommerferien
2017-07-26;Sommerferien
2017-07-27;Sommerferien
2017-07-28;Sommerferien
2017-07-29;Sommerferien
2017-07-30;Sommerferien
2017-07-31;Sommerferien
2017-08-01;Sommerferien
2017-08-02;Sommerferien
2017-10-02;Herbstferien
2017-10-03;Herbstferien
2017-10-04;Herbstferien
2017-10-05;Herbstferien
2017-10-06;Herbstferien
2017-10-07;Herbstferien
2017-10-08;Herbstferien
2017-10-09;Herbstferien
2017-10-10;Herbstferien
2017-10-11;Herbstferien
2017-10-12;Herbstferien
2017-10-13;Herbstferien
2017-10-14;Herbstferien
2017-10-30;Herbstferien
2017-12-22;Weihnachtsferien
2017-12-23;Weihnachtsferien
2017-12-24;Weihnachtsferien
2017-12-25;Weihnachtsferien
2017-12-26;Weihnachtsferien
2017-12-27;Weihnachtsferien
2017-12-28;Weihnachtsferien
2017-12-29;Weihnachtsferien
2017-12-30;Weihnachtsferien
2017-12-31;Weihnachtsferien
2018-01-01;Weihnachtsferien
2018-01-02;Weihnachtsferien
2018-01-03;Weihnachtsferien
2018-01-04;Weihnachtsferien
2018-01-05;Weihnachtsferien
2018-01-06;Weihnachtsferien
2018-02-01;Winterferien
2018-02-02;Winterferien
2018-03-19;Osterferien
2018-03-20;Osterferien
2018-03-21;Osterferien
2018-03-22;Osterferien
2018-03-23;Osterferien
2018-03-24;Osterferien
2018-03-25;Osterferien
2018-03-26;Osterferien
2018-03-27;Osterferien
2018-03-28;Osterferien
2018-03-29;Osterferien
2018-03-30;Osterferien
2018-03-31;Osterferien
2018-04-01;Osterferien
2018-04-02;Osterferien
2018-04-03;Osterferien
2018-04-30;Pfingstferien
2018-05-11;Pfingstferien
2018-05-22;Pfingstferien
2018-06-28;Sommerferien
2018-06-29;Sommerferien
2018-06-30;Sommerferien
2018-07-01;Sommerferien
2018-07-02;Sommerferien
2018-07-03;Sommerferien
2018-07-04;Sommerferien
2018-07-05;Sommerferien
2018-07-06;Sommerferien
2018-07-07;Sommerferien
2018-07-08;Sommerferien
2018-07-09;Sommerferien
2018-07-10;Sommerferien
2018-07-11;Sommerferien
2018-07-12;Sommerferien
2018-07-13;Sommerferien
2018-07-14;Sommerferien
2018-07-15;Sommerferien
2018-07-16;Sommerferien
2018-07-17;Sommerferien
2018-07-18;Sommerferien
2018-07-19;Sommerferien
2018-07-20;Sommerferien
2018-07-21;Sommerferien
2018-07-22;Sommerferien
2018-07-23;Sommerferien
2018-07-24;Sommerferien
2018-07-25;Sommerferien
2018-07-26;Sommerferien
2018-07-27;Sommerferien
2018-07-28;Sommerferien
2018-07-29;Sommerferien
2018-07-30;Sommerferien
2018-07-31;Sommerferien
2018-08-01;Sommerferien
2018-08-02;Sommerferien
2018-08-03;Sommerferien
2018-08-04;Sommerferien
2018-08-05;Sommerferien
2018-08-06;Sommerferien
2018-08-07;Sommerferien
2018-08-08;Sommerferien
2018-10-01;Herbstferien
2018-10-02;Herbstferien
2018-10-03;Herbstferien
2018-10-04;Herbstferien
2018-10-05;Herbstferien
2018-10-06;Herbstferien
2018-10-07;Herbstferien
2018-10-08;Herbstferien
2018-10-09;Herbstferien
2018-10-10;Herbstferien
2018-10-11;Herbstferien
2018-10-12;Herbstferien
2018-10-13;Herbstferien
2018-12-24;Weihnachtsferien
2018-12-25;Weihnachtsferien
2018-12-26;Weihnachtsferien
2018-12-27;Weihnachtsferien
2018-12-28;Weihnachtsferien
2018-12-29;Weihnachtsferien
2018-12-30;Weihnachtsferien
2018-12-31;Weihnachtsferien
2019-01-01;Weihnachtsferien
2019-01-02;Weihnachtsferien
2019-01-03;Weihnachtsferien
2019-01-04;Weihnachtsferien
2019-01-31;Winterferien
2019-02-01;Winterferien
2019-04-06;Osterferien
2019-04-07;Osterferien
2019-04-08;Osterferien
2019-04-09;Osterferien
2019-04-10;Osterferien
2019-04-11;Osterferien
2019-04-12;Osterferien
2019-04-13;Osterferien
2019-04-14;Osterferien
2019-04-15;Osterferien
2019-04-16;Osterferien
2019-04-17;Osterferien
2019-04-18;Osterferien
2019-04-19;Osterferien
2019-04-20;Osterferien
2019-04-21;Osterferien
2019-04-22;Osterferien
2019-04-23;Osterferien
2019-05-31;Pfingstferien
2019-06-11;Pfingstferien
2019-07-04;Sommerferien
2019-07-05;Sommerferien
2019-07-06;Sommerferien
2019-07-07;Sommerferien
2019-07-08;Sommerferien
2019-07-09;Sommerferien
2019-07-10;Sommerferien
2019-07-11;Sommerferien
2019-07-12;Sommerferien
2019-07-13;Sommerferien
2019-07-14;Sommerferien
2019-07-15;Sommerferien
2019-07-16;Sommerferien
2019-07-17;Sommerferien
2019-07-18;Sommerferien
2019-07-19;Sommerferien
2019-07-20;Sommerferien
2019-07-21;Sommerferien
2019-07-22;Sommerferien
2019-07-23;Sommerferien
2019-07-24;Sommerferien
